año,pais_asilo,origen,asilo_id,origen_id,refugiados
2010,Argentina,Colombia,ARG,COL,403
2010,Australia,Colombia,AUS,COL,148
2010,Austria,Colombia,AUT,COL,22
2010,Belgium,Colombia,BEL,COL,33
2010,Bolivia (Plurinational State of),Colombia,BOL,COL,127
2010,Brazil,Colombia,BRA,COL,602
2010,Canada,Colombia,CAN,COL,16054
2010,Chile,Colombia,CHL,COL,884
2010,Costa Rica,Colombia,CRI,COL,10214
2010,Cuba,Colombia,CUB,COL,5
2010,Denmark,Colombia,DNK,COL,7
2010,Ecuador,Colombia,ECU,COL,120403
2010,Finland,Colombia,FIN,COL,13
2010,France,Colombia,FRA,COL,436
2010,United Kingdom of Great Britain and Northern Ireland,Colombia,GBR,COL,650
2010,Germany,Colombia,DEU,COL,253
2010,Guatemala,Colombia,GTM,COL,5
2010,Iceland,Colombia,ISL,COL,6
2010,Italy,Colombia,ITA,COL,426
2010,Mexico,Colombia,MEX,COL,233
2010,Netherlands (Kingdom of the),Colombia,NLD,COL,307
2010,Nicaragua,Colombia,NIC,COL,6
2010,Norway,Colombia,NOR,COL,29
2010,New Zealand,Colombia,NZL,COL,36
2010,Panama,Colombia,PAN,COL,15432
2010,Paraguay,Colombia,PRY,COL,31
2010,Peru,Colombia,PER,COL,307
2010,Portugal,Colombia,PRT,COL,63
2010,El Salvador,Colombia,SLV,COL,5
2010,Spain,Colombia,ESP,COL,782
2010,Sweden,Colombia,SWE,COL,186
2010,Switzerland,Colombia,CHE,COL,310
2010,Trinidad and Tobago,Colombia,TTO,COL,5
2010,Uruguay,Colombia,URY,COL,82
2010,United States of America,Colombia,USA,COL,25607
2010,Venezuela (Bolivarian Republic of),Colombia,VEN,COL,201467
2011,Argentina,Colombia,ARG,COL,456
2011,Australia,Colombia,AUS,COL,133
2011,Austria,Colombia,AUT,COL,20
2011,Belgium,Colombia,BEL,COL,39
2011,Bolivia (Plurinational State of),Colombia,BOL,COL,148
2011,Brazil,Colombia,BRA,COL,654
2011,Canada,Colombia,CAN,COL,17243
2011,Chile,Colombia,CHL,COL,924
2011,Costa Rica,Colombia,CRI,COL,10297
2011,Cuba,Colombia,CUB,COL,5
2011,Ecuador,Colombia,ECU,COL,122587
2011,Finland,Colombia,FIN,COL,11
2011,France,Colombia,FRA,COL,455
2011,United Kingdom of Great Britain and Northern Ireland,Colombia,GBR,COL,564
2011,Germany,Colombia,DEU,COL,242
2011,Guatemala,Colombia,GTM,COL,5
2011,Honduras,Colombia,HND,COL,5
2011,Italy,Colombia,ITA,COL,387
2011,Mexico,Colombia,MEX,COL,252
2011,Netherlands (Kingdom of the),Colombia,NLD,COL,300
2011,Nicaragua,Colombia,NIC,COL,8
2011,Norway,Colombia,NOR,COL,32
2011,New Zealand,Colombia,NZL,COL,32
2011,Panama,Colombia,PAN,COL,15598
2011,Paraguay,Colombia,PRY,COL,40
2011,Peru,Colombia,PER,COL,308
2011,Portugal,Colombia,PRT,COL,71
2011,El Salvador,Colombia,SLV,COL,5
2011,Spain,Colombia,ESP,COL,664
2011,Sweden,Colombia,SWE,COL,105
2011,Switzerland,Colombia,CHE,COL,324
2011,Trinidad and Tobago,Colombia,TTO,COL,5
2011,Uruguay,Colombia,URY,COL,86
2011,United States of America,Colombia,USA,COL,22004
2011,Venezuela (Bolivarian Republic of),Colombia,VEN,COL,201941
2012,Argentina,Colombia,ARG,COL,497
2012,Australia,Colombia,AUS,COL,118
2012,Austria,Colombia,AUT,COL,19
2012,Belgium,Colombia,BEL,COL,39
2012,Bolivia (Plurinational State of),Colombia,BOL,COL,168
2012,Brazil,Colombia,BRA,COL,742
2012,Canada,Colombia,CAN,COL,17563
2012,Chile,Colombia,CHL,COL,942
2012,Costa Rica,Colombia,CRI,COL,10305
2012,Curacao,Colombia,CUW,COL,6
2012,Ecuador,Colombia,ECU,COL,122964
2012,France,Colombia,FRA,COL,476
2012,United Kingdom of Great Britain and Northern Ireland,Colombia,GBR,COL,341
2012,Germany,Colombia,DEU,COL,241
2012,Guatemala,Colombia,GTM,COL,7
2012,Honduras,Colombia,HND,COL,5
2012,Italy,Colombia,ITA,COL,373
2012,Mexico,Colombia,MEX,COL,247
2012,Netherlands (Kingdom of the),Colombia,NLD,COL,295
2012,Nicaragua,Colombia,NIC,COL,8
2012,Norway,Colombia,NOR,COL,27
2012,New Zealand,Colombia,NZL,COL,17
2012,Panama,Colombia,PAN,COL,15723
2012,Paraguay,Colombia,PRY,COL,40
2012,Peru,Colombia,PER,COL,413
2012,Portugal,Colombia,PRT,COL,76
2012,El Salvador,Colombia,SLV,COL,5
2012,Spain,Colombia,ESP,COL,637
2012,Sweden,Colombia,SWE,COL,60
2012,Switzerland,Colombia,CHE,COL,327
2012,Trinidad and Tobago,Colombia,TTO,COL,8
2012,Uruguay,Colombia,URY,COL,94
2012,United States of America,Colombia,USA,COL,17766
2012,Venezuela (Bolivarian Republic of),Colombia,VEN,COL,203563
