conflict,year,coverage_total,coverage_mean,coverage_max,iso3,idp_stock,idp_flow,country_type,coverage_per_million
colombia,2017,50,4.166666666666667,7,COL,6509000,139000,conflict_country,7.681671531725303
colombia,2018,63,5.25,8,COL,5761000,145000,conflict_country,10.935601458080194
colombia,2019,48,4.363636363636363,11,COL,5576000,139000,conflict_country,8.608321377331421
colombia,2020,66,5.5,9,COL,4922000,106000,conflict_country,13.40918325883787
colombia,2021,60,5,8,COL,5235000,134000,conflict_country,11.46131805157593
colombia,2022,51,4.25,10,COL,4766000,391000,conflict_country,10.700797314309694
colombia,2023,68,5.666666666666667,15,COL,5077000,329000,conflict_country,13.393736458538507
nigeria,2017,81,6.75,12,NGA,1702000,279000,conflict_country,47.591069330199765
nigeria,2018,35,3.1818181818181817,5,NGA,2243000,541000,conflict_country,15.60410164957646
nigeria,2019,42,3.5,7,NGA,2583000,248000,conflict_country,16.260162601626014
nigeria,2020,64,5.333333333333333,13,NGA,2730000,169000,conflict_country,23.44322344322344
nigeria,2021,53,4.818181818181818,9,NGA,3228000,376000,conflict_country,16.41883519206939
nigeria,2022,54,4.5,14,NGA,3646000,148000,conflict_country,14.810751508502468
nigeria,2023,37,3.0833333333333335,7,NGA,3340000,291000,conflict_country,11.077844311377246
syria,2017,719,59.916666666666664,128,SYR,6784000,2911000,conflict_country,105.98466981132076
syria,2018,466,38.833333333333336,80,SYR,6119000,1649000,conflict_country,76.1562346788691
syria,2019,488,40.666666666666664,99,SYR,6495000,1847000,conflict_country,75.13471901462664
syria,2020,365,30.416666666666668,54,SYR,6568000,1822000,conflict_country,55.57247259439708
syria,2021,260,21.666666666666668,36,SYR,6662000,456000,conflict_country,39.02731912338637
syria,2022,502,41.833333333333336,141,SYR,6865000,171000,conflict_country,73.12454479242534
syria,2023,546,45.5,94,SYR,7248000,174000,conflict_country,75.33112582781457
ukraine,2017,92,7.666666666666667,14,UKR,800000,21000,reference_country,115
ukraine,2018,84,7,11,UKR,800000,12000,reference_country,105
ukraine,2019,95,7.916666666666667,19,UKR,730000,60,reference_country,130.13698630136986
ukraine,2020,83,6.916666666666667,13,UKR,734000,74,reference_country,113.07901907356948
ukraine,2021,81,6.75,14,UKR,854000,40,reference_country,94.84777517564403
ukraine,2022,4227,352.25,1201,UKR,5914000,16870000,reference_country,714.7446736557322
ukraine,2023,2379,198.25,263,UKR,3689000,714000,reference_country,644.8902141501762
usa,2017,406,33.833333333333336,52,NA,NA,NA,reference_country,NA
usa,2018,373,31.083333333333332,51,NA,NA,NA,reference_country,NA
usa,2019,473,39.416666666666664,50,NA,NA,NA,reference_country,NA
usa,2020,800,66.66666666666667,146,NA,NA,NA,reference_country,NA
usa,2021,400,33.333333333333336,67,NA,NA,NA,reference_country,NA
usa,2022,400,33.333333333333336,58,NA,NA,NA,reference_country,NA
usa,2023,400,33.333333333333336,58,NA,NA,NA,reference_country,NA
yemen,2017,334,27.833333333333332,67,YEM,2014000,160000,conflict_country,165.83912611717975
yemen,2018,227,18.916666666666668,43,YEM,2324000,252000,conflict_country,97.6764199655766
yemen,2019,178,14.833333333333334,23,YEM,3635000,398000,conflict_country,48.968363136176066
yemen,2020,172,14.333333333333334,25,YEM,3635000,143000,conflict_country,47.31774415405778
yemen,2021,134,11.166666666666666,33,YEM,4289000,377000,conflict_country,31.242713919328516
yemen,2022,101,8.416666666666666,27,YEM,4523000,276000,conflict_country,22.33031173999558
yemen,2023,178,14.833333333333334,40,YEM,4516000,80000,conflict_country,39.41541186891054
