conflict,year,coverage_total,coverage_mean,coverage_max
colombia,2017,50,4.166666666666667,7
colombia,2018,63,5.25,8
colombia,2019,48,4.363636363636363,11
colombia,2020,66,5.5,9
colombia,2021,60,5,8
colombia,2022,51,4.25,10
colombia,2023,68,5.666666666666667,15
nigeria,2017,81,6.75,12
nigeria,2018,35,3.1818181818181817,5
nigeria,2019,42,3.5,7
nigeria,2020,64,5.333333333333333,13
nigeria,2021,53,4.818181818181818,9
nigeria,2022,54,4.5,14
nigeria,2023,37,3.0833333333333335,7
syria,2017,719,59.916666666666664,128
syria,2018,466,38.833333333333336,80
syria,2019,488,40.666666666666664,99
syria,2020,365,30.416666666666668,54
syria,2021,260,21.666666666666668,36
syria,2022,502,41.833333333333336,141
syria,2023,546,45.5,94
ukraine,2017,92,7.666666666666667,14
ukraine,2018,84,7,11
ukraine,2019,95,7.916666666666667,19
ukraine,2020,83,6.916666666666667,13
ukraine,2021,81,6.75,14
ukraine,2022,4227,352.25,1201
ukraine,2023,2379,198.25,263
usa,2017,406,33.833333333333336,52
usa,2018,373,31.083333333333332,51
usa,2019,473,39.416666666666664,50
usa,2020,800,66.66666666666667,146
usa,2021,400,33.333333333333336,67
usa,2022,400,33.333333333333336,58
usa,2023,400,33.333333333333336,58
yemen,2017,334,27.833333333333332,67
yemen,2018,227,18.916666666666668,43
yemen,2019,178,14.833333333333334,23
yemen,2020,172,14.333333333333334,25
yemen,2021,134,11.166666666666666,33
yemen,2022,101,8.416666666666666,27
yemen,2023,178,14.833333333333334,40
